time,open,high,low,close,tick_volume,spread
2022-08-31 19:00:00,1.16143,1.16245,1.16059,1.16144,3459,8
2022-08-31 20:00:00,1.16146,1.16221,1.1612,1.16203,823,8
2022-08-31 21:00:00,1.16177,1.16189,1.16095,1.16145,601,56
2022-08-31 22:00:00,1.16156,1.16177,1.16065,1.16115,417,40
2022-08-31 23:00:00,1.16129,1.16129,1.15927,1.15966,1062,12
2022-09-01 00:00:00,1.15969,1.1597,1.15738,1.15829,3258,8
2022-09-01 01:00:00,1.15831,1.15897,1.15673,1.158,3203,8
2022-09-01 02:00:00,1.15803,1.15903,1.15779,1.15873,1699,8
2022-09-01 03:00:00,1.15871,1.15893,1.1571,1.15782,1457,8
2022-09-01 04:00:00,1.1578,1.15802,1.15683,1.15774,1443,8
2022-09-01 05:00:00,1.15771,1.15911,1.15716,1.15871,2165,8
2022-09-01 06:00:00,1.1587,1.15954,1.15746,1.15898,4936,8
2022-09-01 07:00:00,1.159,1.16162,1.15797,1.16038,6192,8
2022-09-01 08:00:00,1.1604,1.16138,1.15846,1.1597,6276,8
2022-09-01 09:00:00,1.15967,1.1607,1.15869,1.16008,3854,8
2022-09-01 10:00:00,1.16006,1.16011,1.15529,1.15565,4269,8
2022-09-01 11:00:00,1.15564,1.1583,1.15514,1.15661,4740,8
2022-09-01 12:00:00,1.15663,1.15756,1.15491,1.15638,5892,8
2022-09-01 13:00:00,1.15637,1.15783,1.15555,1.15577,6946,8
2022-09-01 14:00:00,1.15575,1.15575,1.14982,1.15222,11851,8
2022-09-01 15:00:00,1.15222,1.15414,1.15219,1.15376,6785,8
2022-09-01 16:00:00,1.15375,1.15496,1.15323,1.15334,4104,8
2022-09-01 17:00:00,1.15335,1.1551,1.1532,1.15444,2649,8
2022-09-01 18:00:00,1.15443,1.15547,1.15362,1.15377,2837,8
2022-09-01 19:00:00,1.15375,1.15509,1.15352,1.15408,2573,8
2022-09-01 20:00:00,1.15409,1.15438,1.15363,1.15424,417,8
2022-09-01 21:00:00,1.1541,1.15415,1.15328,1.15392,367,46
2022-09-01 22:00:00,1.15397,1.15437,1.15365,1.15397,303,40
2022-09-01 23:00:00,1.15412,1.1548,1.15383,1.15466,522,12
2022-09-02 00:00:00,1.15467,1.15594,1.15449,1.15501,2096,8
2022-09-02 01:00:00,1.15498,1.15555,1.15447,1.15451,2224,8
2022-09-02 02:00:00,1.15448,1.15503,1.15403,1.15451,1415,8
2022-09-02 03:00:00,1.1545,1.1549,1.1544,1.15485,972,8
2022-09-02 04:00:00,1.15487,1.15525,1.15393,1.15497,1824,8
2022-09-02 05:00:00,1.155,1.15556,1.15442,1.15466,2672,8
2022-09-02 06:00:00,1.15464,1.15534,1.15321,1.15503,3595,8
2022-09-02 07:00:00,1.15501,1.1569,1.15445,1.15571,3863,8
2022-09-02 08:00:00,1.1557,1.1563,1.15504,1.15548,2738,8
2022-09-02 09:00:00,1.15547,1.15728,1.15466,1.15694,2949,8
2022-09-02 10:00:00,1.15692,1.15816,1.1559,1.15671,2934,8
2022-09-02 11:00:00,1.15674,1.15709,1.15471,1.15595,3821,8
2022-09-02 12:00:00,1.15595,1.15882,1.15313,1.15392,14152,8
2022-09-02 13:00:00,1.15391,1.15693,1.15261,1.15306,10295,8
2022-09-02 14:00:00,1.15308,1.15876,1.15289,1.1583,8727,8
2022-09-02 15:00:00,1.15829,1.15883,1.15589,1.15801,4423,8
2022-09-02 16:00:00,1.15802,1.15821,1.15151,1.15233,6828,8
2022-09-02 17:00:00,1.15234,1.15234,1.14995,1.15093,5475,8
2022-09-02 18:00:00,1.1509,1.15158,1.15086,1.15123,3215,8
2022-09-02 19:00:00,1.15119,1.15181,1.14955,1.15081,2716,8
2022-09-02 20:00:00,1.15079,1.15172,1.15051,1.15125,943,8
2022-09-04 00:00:00,1.14787,1.14895,1.14618,1.14723,2445,0
2022-09-04 21:00:00,1.14787,1.14889,1.14768,1.14783,327,200
2022-09-04 22:00:00,1.14822,1.14895,1.14618,1.14767,843,80
2022-09-04 23:00:00,1.14795,1.14855,1.14723,1.14723,1237,12
2022-09-05 00:00:00,1.14725,1.14906,1.14725,1.14793,3070,8
2022-09-05 01:00:00,1.14795,1.14926,1.14792,1.14842,3391,8
2022-09-05 02:00:00,1.14845,1.14866,1.14571,1.14774,3120,8
2022-09-05 03:00:00,1.14773,1.14794,1.14708,1.1472,1873,8
2022-09-05 04:00:00,1.14723,1.14726,1.14564,1.14645,1735,8
2022-09-05 05:00:00,1.14644,1.14645,1.14426,1.14519,3591,8
2022-09-05 06:00:00,1.14516,1.14864,1.14433,1.14753,4600,8
2022-09-05 07:00:00,1.1475,1.14812,1.1461,1.14774,6061,8
2022-09-05 08:00:00,1.14777,1.14934,1.14706,1.14899,4285,8
2022-09-05 09:00:00,1.14895,1.15125,1.14866,1.15117,4003,8
2022-09-05 10:00:00,1.15116,1.15184,1.15049,1.15083,2860,8
2022-09-05 11:00:00,1.15082,1.15165,1.14895,1.15061,3169,8
2022-09-05 12:00:00,1.1506,1.15085,1.148,1.14907,4244,8
2022-09-05 13:00:00,1.14906,1.15141,1.14906,1.15141,2776,8
2022-09-05 14:00:00,1.15139,1.15178,1.15008,1.15054,2885,8
2022-09-05 15:00:00,1.15057,1.15194,1.15031,1.15169,1922,8
2022-09-05 16:00:00,1.15172,1.15207,1.1512,1.15149,874,8
2022-09-05 17:00:00,1.15141,1.15162,1.15134,1.15158,118,24
2022-09-05 18:00:00,1.15154,1.15182,1.15133,1.15155,196,25
2022-09-05 19:00:00,1.15149,1.15159,1.15116,1.15153,153,37
2022-09-05 20:00:00,1.15148,1.15175,1.15104,1.15116,190,50
2022-09-05 21:00:00,1.15107,1.15175,1.15066,1.15172,201,85
2022-09-05 22:00:00,1.15168,1.1565,1.15168,1.15462,940,27
2022-09-05 23:00:00,1.1547,1.15654,1.15453,1.15639,1293,12
2022-09-06 00:00:00,1.15641,1.15911,1.15596,1.15898,3682,8
2022-09-06 01:00:00,1.15901,1.15999,1.15826,1.15913,3087,8
2022-09-06 02:00:00,1.15913,1.15914,1.15777,1.15886,2137,8
2022-09-06 03:00:00,1.15885,1.15889,1.15627,1.15649,1726,8
2022-09-06 04:00:00,1.1565,1.1573,1.15595,1.15621,2474,8
2022-09-06 05:00:00,1.15623,1.1592,1.15603,1.15809,2987,8
2022-09-06 06:00:00,1.15811,1.16087,1.15642,1.15922,5077,8
2022-09-06 07:00:00,1.15921,1.16026,1.15799,1.1584,7319,8
2022-09-06 08:00:00,1.15838,1.15849,1.15486,1.15735,5331,8
2022-09-06 09:00:00,1.15736,1.16062,1.15609,1.15996,4375,8
2022-09-06 10:00:00,1.15994,1.1608,1.15694,1.15707,4334,8
